Product_Name,Category,Sub_Category,Total_Revenue,Total_Profit
Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,61599.83,14167.96
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,27453.38,4392.54
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.48,452.77
HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,21870.57,2624.46
GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,19823.47,3171.77
GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,19024.5,3043.92
Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,18839.68,4333.14
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,18374.89,367.5
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.07,2874.41
High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,17030.31,0.0
